mes	dia	anio	salta	lomitas	iguazu	corrientes	posadas	rioja	ceres	paso	sauce	parana	caseros	mendoza	reynolds	rosario	guale	laboulaye	pehuajo	junin	ezeiza	starosa	neuquen	bblanca	esquel	gallegos
5	8	1961	0	0	0	-99.9	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	9	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1961	0.1	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	11	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0.4
5	12	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	13	1961	0	0	9.5	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	1961	0	2.4	0	-99.9	0.3	0	0	23	0	0	1.5	0	0	0	0	0	1.8	0	0	0	0	0.4	2.1	0
5	15	1961	0	0	0	-99.9	0.2	0.9	26.4	89.1	48.3	24.1	120.8	19.6	0.5	0.1	1.8	2.2	3.6	0	0	5	0	0	0	0
5	16	1961	0	9.1	0	-99.9	50.8	13.4	38.7	78	2.4	1.1	41.4	4.3	3	0.7	0.4	0	0.2	0	0.2	1	0	0	0	0
5	17	1961	0	0.2	1.9	-99.9	66.4	0	17.6	1.6	4.8	1.1	1	0.4	0	0.4	1.8	0	0	0	0	0	5.2	0	0	0
5	18	1961	0	2.1	0	-99.9	0.3	2.1	0	0	0	0	0	3.3	0.4	0	-99.9	0	0	0	0.1	0	0	0	0	0.2
5	19	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	-99.9	0	0	0	0	0	0	0
5	20	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
5	21	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
5	22	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
5	23	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0.4
5	24	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0.1	0	0	0
5	25	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	16.5	0	0	0	0	0	10.9	0
5	26	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	57.8	-99.9	0	0	13.6	51	3.6	0	0	0	0.6
5	27	1961	0	0	0	-99.9	0	0	0	4.2	13.7	25.6	1	0	1.3	0.2	-99.9	0.4	0.6	3.8	27	0	0	0	0	0.3
5	28	1961	0	0	0	-99.9	0	0	0.1	0	0	0	0	0	0	0.2	-99.9	0	0	0	0	0	0	0	22.6	0
5	29	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	-99.9	0	-99.9	0	0.9	0	0	0	0	0	37.4	0
5	30	1961	0	0	0	-99.9	0	0	0.2	0	0	0.4	0	0	0	0	-99.9	0	0	0	0.6	0	0	0	23	0
5	31	1961	0	0.1	0	-99.9	17.5	0	0	24	10.3	10.7	21	0	0	2	-99.9	0	0.6	4.6	20.7	35	0	8	0	0.2
6	1	1961	0.3	0	2.4	-99.9	1	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	2	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0.2	0	0	0	0	0	0	5.6
6	3	1961	0	0	0	-99.9	0	0.3	0	0	0	0	2.2	0	0	0	-99.9	0	0.2	0	0	0	0	0	0	1.8
6	4	1961	1	0	33.2	-99.9	8.1	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	5	1961	0	0	0	-99.9	1.4	0	0	0	0.1	0	0	0	0	0.1	-99.9	0	0	0	0	0	0	0	6.5	0
6	6	1961	0	0	0	-99.9	0	0	0	0	0	0.2	0	0	0	0.1	-99.9	0	0	0.2	0	0	0	0	7.8	0
6	7	1961	0	0	0	-99.9	0	0	0	0	0	0.2	2	0	0	0	-99.9	0	0	0	0.2	0	0	0	0	0
6	8	1961	0	0	0	-99.9	0	0	2.4	1.8	5	6.8	13	0	0	0.2	-99.9	0	0	0	0	0	0	0	0	0
6	9	1961	0.2	8.1	1.8	-99.9	75.6	0	0.2	30.7	0.1	0	31.5	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	10	1961	0	0.2	39	-99.9	2.7	0	0	0	0	0	0	0	0.7	0	-99.9	0	0	0	0	0	0	0	0	0
6	11	1961	0	1.1	2.1	-99.9	0	2.1	0	0	0	0	0	0	0.7	0	-99.9	0	0	0	0	0	0	1.2	0	0
6	12	1961	0	0.3	2.5	-99.9	0.1	7	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	13	1961	0.2	0	2.8	-99.9	0.5	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0.4
6	14	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	1.2
6	15	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	16	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0.6	0
6	17	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	18	1961	0	0.4	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	5.3	0
6	19	1961	0	2.2	0	-99.9	36.8	0	0	16.5	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	14.2	0
6	20	1961	0	0.4	28.1	-99.9	8.2	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	111.5	0
6	21	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	14.2	0
6	22	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0.2	-99.9	0	0	0	0	0	0	0	3.2	0
6	23	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	24	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
6	25	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	1	0	0
6	26	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	1	0	-99.9	0	0	0	0	0	0	0.3	5.2	0
